# description:
# data_version: 1
# format_version: 0.0.2
crop_name;category;starting_week;ending_week;allocated_beds_quantity;forbidden_beds
ail;ail;144;164;2;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
aubergine;aubergine;122;147;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,76,77,78,79,80
betterave;betterave;117;130;1;
betterave;betterave;139;151;1;
betterave;betterave;141;153;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
brocoli;brocoli;137;147;1;
brocoli;brocoli;137;144;1;
brocoli;brocoli;137;158;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
butternut;courge;125;141;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80
carotte;carotte;116;132;2;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
chou_cabus;chou;136;148;1;
chou_cabus;chou;136;157;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
chou_de_milan;chou;136;151;1;
chou_frise;chou;117;152;1;
chou_romanesco;chou;136;150;1;
chou-fleur;chou;136;147;1;
chou-fleur;chou;136;150;1;
chou-fleur;chou;136;152;1;
chou-rave;chou;139;146;2;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
concombre;concombre;122;137;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80
courge;courge;123;141;6;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80
courgette;courgette;120;139;4;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80
echalotte;oignon;115;128;1;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
engrais vert ete;engrais_vert;119;166;8;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
epinard;epinard;143;158;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
haricot;haricot;122;138;1;
laitue;salade;114;127;1;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
laitue;salade;116;129;1;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
laitue;salade;140;152;1;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
laitue;salade;143;155;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
melon;melon;119;135;4;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80
mavet;navet;110;124;1;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
navet;navet;136;151;2;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
oignon;oignon;117;128;4;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
pasteque;courge;119;135;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80
patate_douce;autre;122;155;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
poireau;poireau;129;164;5;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80
poivron;poivron;122;147;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,76,77,78,79,80
pomme_de_terre;pomme_de_terre;115;133;4;
potimarron;courge;125;141;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80
radis_rave;radis;140;157;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
tomate_cerise;tomate;122;147;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,76,77,78,79,80
